topic_id,top_words
0,"fyp, blender, healthy, neuer, morningroutine, healthy fyp, smoothierecipes healthy, recipe, smoothies smoothierecipe, morning"
1,"di, la, az, hat, le, sz, si, konyan hat, konyan, una"
2,"viral, fyp, recipe, fyp viral, foryoupage, foryou, foryou foryoupage, recipe recipe, recipe foryou, viral recipe"
3,"fruit, make, just, butter, ziploc, way, recipes, food, recommend, plantbased"
4,"cup, 11g, calories, greek, greek yogurt, yogurt, banana, fiber, weight, chia seeds"
5,"fyp smoothie, smoothiebowl, smoothie smoothiebowl, fyp, smoothie fyp, daily smoothie, smoothiebowl need, need daily, daily, stitch twincoast"
6,"cup, coconut, berry, pineapple, cream, milk, frozen, tablespoon, coconut cream, honey"
7,"frozen, orange, summer, orange juice, juice, ingredients, strawberries, cup orange, pineapple, cups frozen"
8,"start, weight loss, loss, weight, 21, 21 days, smoothie diet, lose, diet, days"
